소금형,cooking/cafeteria/퀴진 라따뚜이.png,cooking/food/라따뚜이.png,퀴진 라따뚜이,라따뚜이,서울 강남구 학동로3길 41 연우빌딩
소금형,cooking/cafeteria/보나베띠.png,cooking/food/와플.png,보나베띠,와플,서울 서초구 서초대로53길 21 
소금형,cooking/cafeteria/키가와.png,cooking/food/요우칸.png,키가와,요우칸,Osaka Prefecture Osaka Chuo Ward Souemoncho 3?12
임금 뒷편 권력형,cooking/cafeteria/요크셔 푸딩 펍.png,cooking/food/요크셔 푸딩.png,요크셔 푸딩 펍,요크셔 푸딩,G/F 6-8 Staunton Street SoHo Central
임금 뒷편 권력형,cooking/cafeteria/h450.png,cooking/food/스콘.png,h450,스콘,서울 강남구 압구정로29길 21 현대백화점 토파즈홀
임금 뒷편 권력형,cooking/cafeteria/브라운 브레드.png,cooking/food/브레첼.png,브라운 브레드,브레첼,서울 강남구 논현로26길 29
예언자,cooking/cafeteria/아라파파.png,cooking/food/슈톨렌.png,아라파파,슈톨렌,제주 제주시 국기로3길 2
예언자,cooking/cafeteria/프라츄아.png,cooking/food/타펠스피치.png,프라츄아,타펠스피치,Wien Innere Stadt Osterreichisches fur angewandta
예언자,cooking/cafeteria/르브리휘쥬.png,cooking/food/부르스트.png,르브리휘쥬,부르스트,Bratwursthausle bei St. Sebald
과학자,cooking/cafeteria/레빠주.png,cooking/food/타프나드.png,레빠주,타프나드,강남구 신사동 506 강남문화출판센터 1층
과학자,cooking/cafeteria/아건.png,cooking/food/탄두리 치킨.png,아건,탄두리 치킨,서울 서대문구 이화여대3길 35
과학자,cooking/cafeteria/에베레스트.png,cooking/food/달.png,에베레스트,달,서울 영등포구 경인로 838-1 
백과사전형,cooking/cafeteria/자산.png,cooking/food/처트니.png,자산,처트니,Amber Lodge 23 Hollywood Road Central Hong Kong
백과사전형,cooking/cafeteria/바바인디아.png,cooking/food/비리야니.png,바바인디아,비리야니,서울시 서초구 서초2동 1328-11 대우도씨에빛 2차 201호
백과사전형,cooking/cafeteria/헤이미 마카롱.png,cooking/food/마카롱.png,헤이미 마카롱,마카롱,서울 강남구 봉은사로 33갈 37 영일 빌딩
