소금형,travel/country/스위스.png,travel/city/알프스 산맥.png,스위스,알프스 산맥,알프스 설경과 스파리조트의 온천
소금형,travel/country/몰디브.png,travel/city/아난타라 카하바.png,몰디브,아난타라 카하바,리조트 주변의 역사적 유산과 수상비행기 체험
소금형,travel/country/러시아.png,travel/city/이르쿠츠크.png,러시아,이르쿠츠크,모피 및 금거래의 상점가 및 안가라 강 전망
임금 뒷편 권력형,travel/country/일본.png,travel/city/도톤보리.png,일본,도톤보리,상점가 사이의 산책 및 각종 먹거리 체험
임금 뒷편 권력형,travel/country/호주.png,travel/city/시드니.png,호주,시드니,오페라 하우스와 하버브릿지가 위치한 대도시 관람
임금 뒷편 권력형,travel/country/베트남.png,travel/city/하노이.png,베트남,하노이,이국적 분위기의 먹거리와 다양한 상점가
예언자,travel/country/독일.png,travel/city/쾰른.png,독일,쾰른,전통 와인과 각 마켓별 행사 및 건축물 장식
예언자,travel/country/스웨덴.png,travel/city/스톡홀룸.png,스웨덴,스톡홀룸,유리 공예품 및 도자기 그리고 보석류 판매로 유명
예언자,travel/country/벨기에.png,travel/city/브뤼셀.png,벨기에,브뤼셀,일루미네이션 및 초콜렛으로 만들어진 회전목마
과학자,travel/country/남한.png,travel/city/제주도.png,남한,제주도,전원적인 분위기와 각종 갤러리가 위치
과학자,travel/country/그리스.png,travel/city/산토리니.png,그리스,산토리니,석양의 경치와 절벽 위의 에메랄드빛 바다가 유명
과학자,travel/country/노르웨이.png,travel/city/트롬쇠.png,노르웨이,트롬쇠,오로라 연구소로 유명하며 쉽게 관측이 가능
백과사전형,travel/country/태국.png,travel/city/방콕.png,태국,방콕,배낭 여행지로 유명하며 비교적 가격이 저렴
백과사전형,travel/country/대만.png,travel/city/화렌.png,대만,화렌,산악자전거 코스로 유명하며 산맥 절경이 유명
백과사전형,travel/country/프랑스.png,travel/city/파리.png,프랑스,파리,유럽 문화의 중심 도시로서의 정취와 조화
